 ./electrum-meowcoin-v2.1.0-24-gf18eaa7c3-dirty-x86_64.AppImage --oneserver --server meowelectrum2.testtopper.biz:50002:s -v 
  0.78 | I | i18n | gettext setting initial language to None
  1.27 | I | blockchain | ✅ hashlib.scrypt is AVAILABLE and WORKING - AuxPOW hashing will be correct
  1.60 | I | simple_config.SimpleConfig | electrum directory /home/carlos/.electrum-meowcoin
  1.66 | I | __main__ | get_default_language: detected default as lang='en_UK'
  1.66 | I | i18n | setting language to 'en_UK'
  1.66 | I | logging | Electrum version: 2.1.0 - https://electrum.org - https://github.com/Meowcoin-Foundation/electrum-meowcoin
  1.66 | I | logging | Python version: 3.10.11 (main, Jun 28 2018, 19:01:02) [GCC 8.3.0]. On platform: Linux-6.16.8-1-MANJARO-x86_64-with-glibc2.42
  1.66 | I | logging | Logging to file: None
  1.66 | I | logging | Log filters: verbosity '*', verbosity_shortcuts ''
  1.67 | I | n/network | blockchains [0]
  1.67 | I | n/network | setting proxy None
  1.67 | I | exchange_rate.FxThread | using exchange CoinGecko
  1.67 | I | daemon.Daemon | starting taskgroup.
  1.68 | D | util.profiler | Daemon.__init__ 0.0121 sec
  1.68 | I | daemon.CommandsServer | now running and listening. socktype=unix, addr=/home/carlos/.electrum-meowcoin/daemon_rpc_socket
  1.69 | I | p/plugin.Plugins | registering hardware ledger: ('hardware', 'ledger', 'Ledger wallet')
  1.69 | I | p/plugin.Plugins | registering hardware trezor: ('hardware', 'trezor', 'Trezor wallet')
  1.69 | D | util.profiler | Plugins.__init__ 0.0108 sec
  1.69 | I | daemon.Daemon | launching GUI: qt
  1.91 | I | gui.qt.ElectrumGui | Qt GUI starting up... Qt=5.15.2, PyQt=5.15.9
  2.11 | D | util.profiler | ElectrumGui.__init__ 0.2059 sec
  2.12 | I | daemon.Daemon | starting network.
  2.12 | I | n/network | starting network
  2.12 | I | n/network | setting proxy None
  2.12 | I | n/network | connecting to meowelectrum2.testtopper.biz:50002:s as new interface
  2.12 | I | n/network | starting taskgroup (0x7f7ac5861db0).
  2.13 | I | ipfs_db.IPFSDB | loaded IPFS database
  2.13 | I | ipfs_db.IPFSDB | pruned 0 stale ipfs data sets
  2.13 | I | storage.WalletStorage | wallet path /home/carlos/.electrum-meowcoin/wallets/default_wallet
  2.13 | D | util.profiler | Daemon._load_wallet 0.0003 sec
  2.17 | I | storage.WalletStorage | wallet path /home/carlos/.electrum-meowcoin/wallets/default_wallet
  4.24 | I | i/interface.[meowelectrum2.testtopper.biz:50002] | connection established. version: ['ElectrumX Ravencoin 1.12', '1.11']
  4.39 | I | i/interface.[meowelectrum2.testtopper.biz:50002] | set blockchain with height 1622879
  4.39 | I | i/interface.[meowelectrum2.testtopper.biz:50002] | Large sync gap detected: blockchain at 1622879, server at 1625443
  4.39 | I | i/interface.[meowelectrum2.testtopper.biz:50002] | Starting sequential sync from 1622880
  4.39 | I | i/interface.[meowelectrum2.testtopper.biz:50002] | requesting chunk from height 1622880
  4.39 | I | n/network | switching to meowelectrum2.testtopper.biz:50002:s
  4.39 | I | n/network | fee_estimates {25: 2841253, 10: 2841253, 5: 2841253, 2: 2841253}
  4.73 | I | n/network | fee_histogram 0
 14.30 | I | storage.WalletStorage | wallet path /home/carlos/.electrum-meowcoin/wallets/default_wallet
 14.30 | D | util.profiler | WalletDB._load_transactions 0.0002 sec
 14.30 | D | util.profiler | WalletDB._load_transactions 0.0001 sec
 14.31 | I | storage.WalletStorage | saved /home/carlos/.electrum-meowcoin/wallets/default_wallet
 14.31 | D | util.profiler | JsonDB._write 0.0031 sec
 14.31 | D | util.profiler | AddressSynchronizer.load_local_history 0.0000 sec
 14.31 | D | util.profiler | AddressSynchronizer.check_history 0.0000 sec
 14.32 | I | w/wallet.Standard_Wallet.[default_wallet] | starting taskgroup.
 14.32 | D | synchronizer.[default_wallet] | stopping. full_shutdown=False
 14.32 | D | synchronizer.[default_wallet] | starting. interface.server='meowelectrum2.testtopper.biz:50002:s'
 14.32 | D | verifier.[default_wallet] | stopping. full_shutdown=False
 14.33 | D | verifier.[default_wallet] | starting. interface.server='meowelectrum2.testtopper.biz:50002:s'
 14.33 | D | synchronizer.[default_wallet] | starting taskgroup (0x7f7ac4d6d840).
 14.33 | D | verifier.[default_wallet] | starting taskgroup (0x7f7ac4d6c610).
 14.47 | D | gui.qt.asset_management_panel.CreateAssetPanel | check fields, v=True, d=True, s=True, a=False, c=True m=True
 14.47 | D | gui.qt.asset_management_panel.CreateAssetPanel | check fields, v=True, d=True, s=True, a=False, c=True m=True
 14.47 | D | gui.qt.asset_management_panel.CreateAssetPanel | check fields, v=True, d=True, s=True, a=False, c=True m=True
 14.47 | D | gui.qt.asset_management_panel.ReissueAssetPanel | check fields, v=True, d=True, s=True, a=False, c=True m=True
 14.48 | D | gui.qt.asset_management_panel.ReissueAssetPanel | check fields, v=True, d=True, s=True, a=False, c=True m=True
 14.53 | D | util.profiler | AddressList.update 0.0000 sec
 14.71 | I | gui.qt.main_window.[default_wallet] | using default geometry
 14.72 | D | util.profiler | Deterministic_Wallet.try_detecting_internal_addresses_corruption 0.0011 sec
 14.72 | D | util.profiler | ElectrumWindow.load_wallet 0.0238 sec
 16.37 | I | gui.qt.ElectrumGui | starting Qt main loop
 64.76 | D | verifier.[default_wallet] | taskgroup stopped (0x7f7ac4d6c610).
 64.76 | D | synchronizer.[default_wallet] | taskgroup stopped (0x7f7ac4d6d840).
 64.85 | W | i/interface.[meowelectrum2.testtopper.biz:50002] | disconnecting due to GracefulDisconnect(RPCError(-102, 'server busy - request timed out'))
 64.86 | I | n/network | connecting to meowelectrum2.testtopper.biz:50002:s as new interface
 67.60 | I | i/interface.[meowelectrum2.testtopper.biz:50002] | connection established. version: ['ElectrumX Ravencoin 1.12', '1.11']
 67.82 | I | i/interface.[meowelectrum2.testtopper.biz:50002] | set blockchain with height 1622879
 67.82 | I | i/interface.[meowelectrum2.testtopper.biz:50002] | Large sync gap detected: blockchain at 1622879, server at 1625443
 67.82 | I | i/interface.[meowelectrum2.testtopper.biz:50002] | Starting sequential sync from 1622880
 67.82 | I | i/interface.[meowelectrum2.testtopper.biz:50002] | requesting chunk from height 1622880
 67.82 | I | n/network | switching to meowelectrum2.testtopper.biz:50002:s
 67.82 | D | synchronizer.[default_wallet] | stopping. full_shutdown=False
 67.82 | D | synchronizer.[default_wallet] | starting. interface.server='meowelectrum2.testtopper.biz:50002:s'
 67.82 | D | verifier.[default_wallet] | stopping. full_shutdown=False
 67.82 | D | verifier.[default_wallet] | starting. interface.server='meowelectrum2.testtopper.biz:50002:s'
 67.82 | D | synchronizer.[default_wallet] | starting taskgroup (0x7f7ac4d6f850).
 67.82 | D | verifier.[default_wallet] | starting taskgroup (0x7f7ac53fcdf0).
 68.25 | I | n/network | fee_histogram 0
 79.80 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.80 | I | blockchain.Blockchain | LWMA: height=1622880, detected algo=scrypt from header
 79.80 | I | blockchain.Blockchain | LWMA: height=1622880, algo=scrypt, found=0/91, need more headers
 79.80 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.80 | I | blockchain.Blockchain | LWMA: height=1622881, detected algo=meowpow from header
 79.80 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.80 | I | blockchain.Blockchain | LWMA: height=1622881, algo=meowpow, found=0/91, need more headers
 79.80 | I | blockchain.Blockchain | LWMA: height=1622882, detected algo=meowpow from header
 79.80 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.80 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.80 | I | blockchain.Blockchain | LWMA: height=1622882, algo=meowpow, found=1/91, need more headers
 79.80 | I | blockchain.Blockchain | LWMA: height=1622883, detected algo=scrypt from header
 79.80 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.80 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.80 | I | blockchain.Blockchain | LWMA: height=1622883, algo=scrypt, found=1/91, need more headers
 79.80 | I | blockchain.Blockchain | LWMA: height=1622884, detected algo=scrypt from header
 79.80 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.80 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
